asset_key,asset_id
DATAVIC:d26bf015-a1e5-48dd-a1d6-8edd4b0a511b,ASSET-0240
MOP:2018-aerial-imagery-true-ortho,ASSET-0018
MOP:2018-building-footprints,ASSET-0019
MOP:2019-aerial-imagery,ASSET-0020
MOP:2019-false-colour-composite-aerial-imagery,ASSET-0021
MOP:2020-aerial-imagery-true-ortho,ASSET-0022
MOP:2020-building-footprints,ASSET-0023
MOP:2023-building-footprints,ASSET-0024
MOP:annual-bike-counts-super-tuesday,ASSET-0025
MOP:argyle-square-air-quality,ASSET-0026
MOP:argyle-square-sound-stage-activity-copy,ASSET-0027
MOP:assets-for-environmental-reporting,ASSET-0028
MOP:bars-and-pubs-with-patron-capacity,ASSET-0029
MOP:bat-records-in-fitzroy-gardens-and-royal-botanic-gardens-2010,ASSET-0030
MOP:bicycle-network,ASSET-0031
MOP:bicycle-routes-including-informal-on-road-and-off-road-routes,ASSET-0032
MOP:bike-share-dock-locations,ASSET-0033
MOP:bioblitz-2016,ASSET-0034
MOP:bird-survey-results-for-areas-in-the-city-of-melbourne-february-and-march-2018,ASSET-0035
MOP:block-level-energy-consumption-modelled-on-building-attributes-2011-baseline,ASSET-0036
MOP:block-level-energy-consumption-modelled-on-building-attributes-2016-projection-b,ASSET-0037
MOP:block-level-energy-consumption-modelled-on-building-attributes-2016-projection-r,ASSET-0038
MOP:block-level-energy-consumption-modelled-on-building-attributes-2021-projection-b,ASSET-0039
MOP:block-level-energy-consumption-modelled-on-building-attributes-2021-projection-r,ASSET-0040
MOP:block-level-energy-consumption-modelled-on-building-attributes-2026-projection-b,ASSET-0001
MOP:block-level-energy-consumption-modelled-on-building-attributes-2026-projection-r,ASSET-0041
MOP:blocks-for-census-of-land-use-and-employment-clue,ASSET-0042
MOP:bom-weather-at-olympic-park,ASSET-0043
MOP:bookable-banner-poles,ASSET-0044
MOP:building-outlines-20140,ASSET-0045
MOP:building-outlines-2015,ASSET-0046
MOP:building-permits,ASSET-0047
MOP:buildings-with-name-age-size-accessibility-and-bicycle-facilities,ASSET-0048
MOP:bus-stops,ASSET-0002
MOP:bus-stops-for-melbourne-visitor-shuttle,ASSET-0049
MOP:business-establishments-and-jobs-data-by-business-size-and-anzsic,ASSET-0050
MOP:business-establishments-and-jobs-data-by-business-size-and-anzsic-in-municipality,ASSET-0051
MOP:business-establishments-and-jobs-data-by-business-size-and-clue-industry,ASSET-0052
MOP:business-establishments-and-jobs-data-by-business-size-and-clue-industry-in-municipality,ASSET-0053
MOP:business-establishments-per-anzsic-in-municipality,ASSET-0054
MOP:business-establishments-per-block-by-anzsic,ASSET-0055
MOP:business-establishments-per-block-by-clue-industry,ASSET-0056
MOP:business-establishments-with-address-and-industry-classification,ASSET-0003
MOP:butterfly-biodiversity-survey-2017,ASSET-0057
MOP:cafes-and-restaurants-with-seating-capacity,ASSET-0004
MOP:cardboard-bales-collected-at-degraves-st-recycling-facility-2016,ASSET-0058
MOP:childcare-centres,ASSET-0059
MOP:city-circle-tram-route,ASSET-0060
MOP:city-circle-tram-stops,ASSET-0061
MOP:city-of-melbourne-3d-point-cloud-2018,ASSET-0062
MOP:city-of-melbourne-3d-textured-mesh-photomesh-2018,ASSET-0063
MOP:city-of-melbourne-3d-textured-mesh-photomesh-2020,ASSET-0064
MOP:city-of-melbourne-dwellings-and-household-forecasts-by-small-area-2020-2040,ASSET-0065
MOP:city-of-melbourne-floor-space-forecasts-by-small-area-2020-2040,ASSET-0066
MOP:city-of-melbourne-jobs-forecasts-by-small-area-2020-2040,ASSET-0067
MOP:city-of-melbourne-liveability-and-social-indicators,ASSET-0068
MOP:city-of-melbourne-municipal-greenhouse-gas-emissions-2013-2020,ASSET-0069
MOP:city-of-melbourne-population-forecasts-by-small-area-2020-2040,ASSET-0005
MOP:commingled-recycling-collected-at-centre-place-2016,ASSET-0070
MOP:commingled-recycling-collected-at-degraves-st-hub-2016,ASSET-0071
MOP:coworking-spaces,ASSET-0072
MOP:customer-service-requests-with-digital-channel-information,ASSET-0073
MOP:customer-service-requests-with-resolution-time,ASSET-0074
MOP:development-activity-model-footprints,ASSET-0075
MOP:development-activity-model-sketchup-massing,ASSET-0076
